Brand,Type,Reg_date,Coe_left,Dep,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Manufactured,Transmission,OMV,ARF,Power,No. of Owners,Price,Coe_left_days,Coe_left_months,Brand_name
BMW X1 sDrive18i M-Sport,SUV,2018-04-20,6yrs 10mths 13days COE left),14240,48682,684,57069,37330,1499,1430,2018,Auto,35627,41878,103,1,118800,2503,82.43333333333334,BMW
Mercedes-Benz S-Class S400L,Luxury Sedan,2015-11-16,4yrs 5mths 9days COE left),26000,93000,2382,129201,59889,2996,1935,2015,Auto,96961,146530,245,3,188888,1619,53.3,Mercedes-Benz
Toyota Camry 2.4A (COE till 10/2028),Luxury Sedan,2008-10-28,7yrs 4mths 21days COE left),6760,180000,2129,23878,32279,2362,1540,2008,Auto,27261,27261,123,3,50000,2696,88.7,Toyota
Volkswagen Scirocco 1.4A TSI (COE till 06/2025),Sports Car,2010-06-14,4yrs 7days COE left),9650,150000,682,13222,16438,1390,1285,2010,Auto,24394,24394,118,6,38800,1467,48.233333333333334,Volkswagen
Toyota Corolla Altis 1.6A (COE till 11/2028),Mid-Sized Sedan,2008-11-17,7yrs 5mths 10days COE left),6150,173207,965,22110,29670,1598,1195,2008,Auto,16084,16084,80,4,45800,2715,89.33333333333333,Toyota
Mitsubishi Attrage 1.2A Sports,Mid-Sized Sedan,2018-04-18,6yrs 10mths 11days COE left),7910,44000,506,29163,37000,1193,940,2018,Auto,14015,5000,59,1,56800,2501,82.36666666666666,Mitsubishi
Toyota Alphard 2.5A S Moonroof,MPV,2017-01-10,5yrs 7mths 3days COE left),18360,38113,1792,61179,53001,2493,1980,2015,Auto,35767,42074,134,1,123800,2038,67.1,Toyota
Volkswagen Passat 1.8A TSI Highline Sunroof,Luxury Sedan,2018-12-31,7yrs 6mths 24days COE left),11530,33000,976,51085,30851,1798,1480,2018,Auto,32149,37009,132,2,105800,2759,90.8,Volkswagen
Mazda 3 1.5A Sunroof,Mid-Sized Sedan,2018-04-11,6yrs 10mths 4days COE left),8980,62617,682,36271,37000,1496,1310,2018,Auto,14572,14572,88,1,68800,2494,82.13333333333334,Mazda
Mazda 2 HB 1.5A Standard (OPC),Hatchback,2020-08-12,9yrs 2mths 5days COE left),6550,7484,182,26063,16000,1496,1067,2019,Auto,15153,15153,85,1,67777,3350,110.16666666666667,Mazda
BMW 2 Series 216i Gran Tourer,MPV,2019-02-26,7yrs 8mths 19days COE left),12410,62000,684,47310,26301,1499,1490,2018,Auto,31412,35977,80,1,113888,2814,92.63333333333334,BMW
Honda Vezel 1.5A X,SUV,2016-05-20,4yrs 11mths 13days COE left),10210,68000,682,29855,46667,1496,1190,2015,Auto,20333,10467,96,3,55800,1803,59.43333333333333,Honda
Audi A6 Avant 1.8A TFSI S-tronic,Stationwagon,2016-10-26,5yrs 4mths 19days COE left),15910,83000,976,69625,56410,1798,1710,2015,Auto,43071,52300,140,2,111888,1964,64.63333333333334,Audi
Hyundai Elantra 1.6A GLS,Mid-Sized Sedan,2018-03-20,6yrs 9mths 13days COE left),8510,60000,738,33927,38830,1591,1345,2018,Auto,10087,10087,93,1,62800,2473,81.43333333333334,Hyundai
Toyota Allion 1.5A (COE till 10/2028),Mid-Sized Sedan,2008-10-24,7yrs 4mths 17days COE left),6470,116900,887,22369,30284,1496,1200,2008,Auto,15433,15433,81,3,47800,2692,88.56666666666666,Toyota
Honda City 1.5A V,Mid-Sized Sedan,2016-11-24,5yrs 5mths 17days COE left),9470,72677,684,37347,52668,1497,1078,2016,Auto,16394,11394,88,1,57500,1992,65.56666666666666,Honda
Mitsubishi Outlander 2.4A,SUV,2017-05-25,5yrs 11mths 18days COE left),11640,78000,1636,47950,54406,2360,1625,2017,Auto,20462,20647,123,1,79800,2173,71.6,Mitsubishi
Toyota Corolla Altis 1.6A Elegance,Mid-Sized Sedan,2015-12-07,4yrs 6mths  COE left),10210,102000,742,38936,56001,1598,1205,2015,Auto,19589,19589,90,2,55800,1640,54.0,Toyota
Subaru XV 2.0i-S EyeSight,SUV,2018-07-30,7yrs 1mth 23days COE left),10560,34280,1208,35692,32551,1995,1489,2018,Auto,16555,16555,115,1,83800,2608,85.76666666666667,Subaru
